"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"657","20150313_Wendy_Battleship2",3285000,"54m45s","","","","",""
"658","20150313_Wendy_Battleship2",3290000,"54m50s","","","","",""
"672","20150313_Wendy_Battleship2",3360000,"56m0s","","","","",""
"673","20150313_Wendy_Battleship2",3365000,"56m5s","","","","",""
"675","20150313_Wendy_Battleship2",3375000,"56m15s","","","","",""
"676","20150313_Wendy_Battleship2",3380000,"56m20s","","","","",""
"677","20150313_Wendy_Battleship2",3385000,"56m25s","","","","",""
"678","20150313_Wendy_Battleship2",3390000,"56m30s","","","","",""
"680","20150313_Wendy_Battleship2",3400000,"56m40s","","","","",""
"6891","20150313_Wendy_Battleship2",3445000,"57m25s","","","","",""
"690","20150313_Wendy_Battleship2",3450000,"57m30s","","","","",""
"691","20150313_Wendy_Battleship2",3455000,"57m35s","","","","",""
"692","20150313_Wendy_Battleship2",3460000,"57m40s","","","","",""
"693","20150313_Wendy_Battleship2",3465000,"57m45s","","","","",""
"6941","20150313_Wendy_Battleship2",3470000,"57m50s","","","","",""
"695","20150313_Wendy_Battleship2",3475000,"57m55s","","","","",""
"696","20150313_Wendy_Battleship2",3480000,"58m0s","","","","",""
"699","20150313_Wendy_Battleship2",3495000,"58m15s","","","","",""
"700","20150313_Wendy_Battleship2",3500000,"58m20s","","","","",""
"7111","20150313_Wendy_Battleship2",3555000,"59m15s","","","","",""
"7121","20150313_Wendy_Battleship2",3560000,"59m20s","","","","",""
"719","20150313_Wendy_Battleship2",3595000,"59m55s","","","","",""
"720","20150313_Wendy_Battleship2",3600000,"60m0s","","","","",""
"760","20150313_Wendy_Battleship2",3800000,"63m20s","","","","",""
"761","20150313_Wendy_Battleship2",3805000,"63m25s","","","","",""
"794","20150313_Wendy_Battleship2",3970000,"66m10s","","","","",""
"798","20150313_Wendy_Battleship2",3990000,"66m30s","","","","",""
"8011","20150313_Wendy_Battleship2",4005000,"66m45s","","","","",""
"802","20150313_Wendy_Battleship2",4010000,"66m50s","","","","",""
"803","20150313_Wendy_Battleship2",4015000,"66m55s","","","","",""
"804","20150313_Wendy_Battleship2",4020000,"67m0s","","","","",""
